"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Food & Beverages Trading (Sub-activity of Food Service)","Not Applicable","888574","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Basic Food Hygiene Training","International cuisine","775069","Department of Economic Development- Dubai","25.261861600000003,55.3254198","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","999033","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","","3153","Department of Economic Development- Dubai",",","10.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","829630","Department of Economic Development- Dubai","24.9525297,55.4985438","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1022749","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","8.00","2026-06-29T16:24:56.000Z"
"Training Centre","Not Applicable","719125","Department of Economic Development- Dubai","24.921549400000004,55.0029785","3.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.071372612628494,55.309038162231445","1.00","2026-06-29T16:24:56.000Z"
"Food Karts","Not Applicable","687133","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Philippines Cuisine","1109349","Department of Economic Development- Dubai","25.26761080464186,55.321248918771744","3.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","976673","Department of Economic Development- Dubai","25.2759074,55.3095595","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","824323","Department of Economic Development- Dubai","25.1819866,55.4031928","2.00","2026-06-29T16:24:56.000Z"
"Catering to Schools","Not Applicable","906350","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07564844563053,55.30963897705078","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","234460","Department of Economic Development- Dubai","25.195913786632424,55.244849560041075","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Turkish cuisine","696933","Department of Economic Development- Dubai","25.23436982672932,55.32669304519652","2.00","2026-06-29T16:24:56.000Z"
"Global Village","International cuisine","794090","Department of Economic Development- Dubai","25.06507520493526,55.311012268066406","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1293961","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07191681784736,55.30448913574219","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1205776","Department of Economic Development- Dubai","25.253409987601366,55.30219316482544","21.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","646497","Department of Economic Development- Dubai","25.087954299622037,55.14873454421263","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","11.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","681645","Department of Economic Development- Dubai","25.169917995664033,55.241206816938515","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Thai Cuisine","846892","Department of Economic Development- Dubai","25.26344836409914,55.331416358289296","4.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","217213","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","56.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","572244","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","865876","Department of Economic Development- Dubai","25.2584917,55.329354","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","621437","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","3.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","817038","Department of Economic Development- Dubai","24.98648126174655,55.20770356549065","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai","25.261515799999998,55.315111599999994","8.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","832950","Department of Economic Development- Dubai","25.2729729,55.301659","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","718907","Department of Economic Development- Dubai","25.233229682563373,55.35105598488133","20.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1162716","Department of Economic Development- Dubai","25.191467216974242,55.26611980050802","10.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","216034","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","3.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","595078","Department of Economic Development- Dubai","25.080312820442302,55.123300552368164","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","766189","Department of Economic Development- Dubai",",","5.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.137214, 55.190311","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.09725855293644,55.18406867980957","4.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","1194468","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","968000","Department of Economic Development- Dubai","25.275878547789393,55.30953804979019","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1362093","Department of Economic Development- Dubai","25.2424693, 55.2963905","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Arabic cuisine","921287","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Indian cuisine","724195","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Roastery","Not Applicable","679067","Department of Economic Development- Dubai","25.123505986791244,55.22179824981504","17.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.2617204,55.3149974","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","741996","Department of Economic Development- Dubai","25.204929,55.270840","29.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","788716","Department of Economic Development- Dubai","25.18503134990382,55.27982942613201","16.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","595078","Department of Economic Development- Dubai","25.2621453,55.3151912","1.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","667886","Department of Economic Development- Dubai","25.030140284292393,55.14882664413024","11.00","2026-06-29T16:24:56.000Z"
"General Trading","","202457","Department of Economic Development- Dubai","25.2411662,55.3254198","133.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","30849","Department of Economic Development- Dubai","25.095518193114707,55.15739173016358","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","628505","Department of Economic Development- Dubai","25.2608988,55.3177427","8.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1081900","Department of Economic Development- Dubai","25.263409617067655,55.39176754653454","31.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.213483319280662,55.27101516723633","15.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","219738","Department of Economic Development- Dubai","25.17905975004981,55.257250686377226","5.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","24.96069330828729,55.150465965270996","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","1165910","Department of Economic Development- Dubai","25.243893534718982,55.31189605593681","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","709544","Department of Economic Development- Dubai","25.27355182699961,55.315162427795826","26.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","International cuisine","1027144","Department of Economic Development- Dubai","25.2632248, 55.3330243","10.00","2026-06-29T16:24:56.000Z"
"Food Stuff Supply Services","Not Applicable","1039837","Department of Economic Development- Dubai","25.289074818427675, 55.41530397095846","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.176297658189892,55.44375400769387","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai","25.196864372861896,55.2747917175293","12.00","2026-06-29T16:24:56.000Z"
"Cocoa and Chocolate Candies Manufacturing","Not Applicable","730214","Department of Economic Development- Dubai","25.2405018,55.3064829","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai",",","20.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","613360","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Italian Cuisine","823364","Department of Economic Development- Dubai",",","27.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","217213","Department of Economic Development- Dubai",",","18.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","576136","Department of Economic Development- Dubai","25.236114712576953,55.30355222114564","13.00","2026-06-29T16:24:56.000Z"
"Dry Food Trading","Not Applicable","217312","Department of Economic Development- Dubai","25.2743621,55.3319786","1.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","1233752","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","863577","Department of Economic Development- Dubai","25.080455238986865,55.15426263213158","10.00","2026-06-29T16:24:56.000Z"
"Ice Cream Trading","Not Applicable","203303","Department of Economic Development- Dubai","25.2283022336974,55.37304315351421","122.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","241829","Department of Economic Development- Dubai","25.2280832, 55.279616","2.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","740150","Department of Economic Development- Dubai","25.190729541042344,55.4004604245661","2.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","621351","Department of Economic Development- Dubai","25.079185612812303,55.12235641479492","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","867532","Department of Economic Development- Dubai","24.997892766722433,55.1755146952857","6.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Turkish cuisine","696933","Department of Economic Development- Dubai","25.207581523349802,55.26217460632324","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","1411679","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"School","Not Applicable","118823","Department of Economic Development- Dubai","25.28326392048996,55.37061095237732","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","229599","Department of Economic Development- Dubai","25.204849,55.270783","4.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","1468652","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","40.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai",",","18.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","687133","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","628505","Department of Economic Development- Dubai","25.262088,55.3151326","4.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Others","217213","Department of Economic Development- Dubai","25.264510072791527,55.29145262267912","8.00","2026-06-29T16:24:56.000Z"
"Supermarket","Arabic cuisine","890808","Department of Economic Development- Dubai","25.226489556254503,55.28620719909668","11.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","1256154","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
